Sample No,Description,Type
1,NASH_F4_1,Treated
2,NASH_F4_2,Treated
3,NASH_F4_3,Treated
4,NASH_F4_4,Treated
5,NASH_F4_5,Treated
6,NASH_F4_6,Treated
7,NASH_F4_7,Treated
8,NASH_F4_8,Treated
9,NASH_F4_9,Treated
10,NASH_F4_10,Treated
11,NASH_F4_11,Treated
12,NASH_F4_12,Treated
13,NASH_F4_13,Treated
14,NASH_F4_14,Treated
15,NASH_F4_15,Treated
16,Control_1,Control
17,Control_2,Control
18,Control_3,Control
19,Control_4,Control
20,Control_5,Control
21,Control_6,Control
22,Control_7,Control
23,Control_8,Control
24,Control_9,Control
25,Control_10,Control
